D,analytic_s2,numerical_s2,min_mismatch
3.6,-1.5740231874622406,1.0652970570937166,0.0
3.65,-1.5232581874622408,1.11606205634075,0.0
3.7,-1.4724931874622404,1.1668270555877835,0.0
3.75,-1.4217281874622407,1.2175920728949587,0.0
3.8000000000000003,-1.3709631874622406,1.268357072894959,0.0
3.85,-1.3201981874622406,1.3191220728949589,0.0
3.9000000000000004,-1.2694331874622404,1.369887072894959,0.0
3.95,-1.2186681874622405,1.4206520728949592,0.0
4.0,-1.1679031874622408,0.0,0.05490968375488336
4.050000000000001,-1.1171381874622401,0.16781995392209093,9.429600817002773e-09
4.1000000000000005,-1.0663731874622402,0.2976118352971092,4.178769376690364e-08
4.15,-1.0156081874622405,0.3995086770868484,2.1541054078594088e-08
4.2,-0.9648431874622406,0.4802722562821548,4.378470588726228e-08
4.25,-0.9140781874622408,0.5448231614916119,4.129635149934076e-08
4.300000000000001,-0.8633131874622401,0.596763146304214,2.080510059748343e-08
4.3500000000000005,-0.8125481874622402,0.6387689769355023,1.433366463109043e-08
4.4,-0.7617831874622405,0.6728650489089302,1.6494109110967977e-08
