D,analytic_s2,numerical_s2,match_err
3.6,-0.37885599999999986,4.221144000000001,0.0
3.65,-0.33448100000000003,4.265518999999999,0.0
3.7,-0.2892539999999997,4.310746,0.0
3.75,-0.24317499999999992,3.8234916666666656,0.0
3.8000000000000003,-0.19624399999999964,2.9237560000000005,0.0
3.85,-0.14846099999999973,2.8315390000000007,0.0
3.9000000000000004,-0.09982599999999953,2.880174000000001,0.0
3.95,-0.05033899999999969,2.9296610000000007,0.0
4.0,0.0,4.440892098500626e-16,0.05490975558766465
4.050000000000001,0.05119100000000065,0.0511910000000011,0.2966616071393912
4.1000000000000005,0.10323400000000071,0.24323400000000106,0.0725050077096246
4.15,0.1561290000000004,0.296129000000001,0.18571248012367805
4.2,0.20987600000000028,0.2098760000000004,0.429449162524633
4.25,0.2644750000000001,0.264475,0.4259402552945638
4.300000000000001,0.31992600000000093,0.3199260000000006,0.4090132461466472
4.3500000000000005,0.3762290000000006,0.37622900000000037,0.38000625794602216
4.4,0.43338400000000044,0.4333840000000002,0.3385816678528534
